date,exchange_rate
20/05/2011,7.28
23/05/2011,6.81
26/05/2011,7.95
29/05/2011,8.68
01/06/2011,9.47
04/06/2011,15.05
07/06/2011,19.19
10/06/2011,32.34
13/06/2011,24.87
16/06/2011,19.99
19/06/2011,17.6
22/06/2011,15.39
25/06/2011,16.95
28/06/2011,17.89
01/07/2011,17.38
04/07/2011,15.74
07/07/2011,16.44
10/07/2011,15.16
13/07/2011,14.52
16/07/2011,14.25
19/07/2011,13.93
22/07/2011,13.94
25/07/2011,14.16
28/07/2011,14.1
31/07/2011,14.06
03/08/2011,13.37
06/08/2011,11.42
09/08/2011,9.66
12/08/2011,10.35
15/08/2011,11.4
18/08/2011,11.39
21/08/2011,11.75
24/08/2011,11.47
27/08/2011,10.01
30/08/2011,9.4
02/09/2011,8.46
05/09/2011,8.56
08/09/2011,7.53
11/09/2011,6.49
14/09/2011,6.19
17/09/2011,5.18
20/09/2011,5.89
23/09/2011,5.8
26/09/2011,5.49
29/09/2011,4.95
02/10/2011,5.27
05/10/2011,5.03
08/10/2011,4.79
11/10/2011,4.23
14/10/2011,4.37
17/10/2011,3.87
20/10/2011,2.59
23/10/2011,3.31
26/10/2011,3
29/10/2011,3.39
31/10/2011,3.38
03/11/2011,3.28
06/11/2011,3.04
09/11/2011,3.09
12/11/2011,3.11
15/11/2011,2.67
18/11/2011,2.37
21/11/2011,2.3
24/11/2011,2.48
27/11/2011,2.51
30/11/2011,3
03/12/2011,3.1
06/12/2011,3.06
09/12/2011,3.04
12/12/2011,3.33
15/12/2011,3.2
18/12/2011,3.36
21/12/2011,4.08
24/12/2011,4.06
27/12/2011,4.09
30/12/2011,4.47
02/01/2012,5.45
05/01/2012,6.6
08/01/2012,7.2
11/01/2012,7.1
14/01/2012,6.81
17/01/2012,6.97
20/01/2012,6.57
23/01/2012,6.47
26/01/2012,6.08
29/01/2012,5.72
01/02/2012,5.77
04/02/2012,5.99
07/02/2012,5.74
10/02/2012,5.94
13/02/2012,5.69
16/02/2012,4.74
19/02/2012,4.38
22/02/2012,4.63
25/02/2012,5.05
28/02/2012,4.98
02/03/2012,4.94
05/03/2012,5.04
08/03/2012,4.99
11/03/2012,4.98
14/03/2012,5.45
17/03/2012,5.4
20/03/2012,4.95
23/03/2012,4.81
27/03/2012,4.74
30/03/2012,4.85
02/04/2012,4.97
05/04/2012,4.96
08/04/2012,4.94
11/04/2012,4.9
14/04/2012,4.97
17/04/2012,4.99
20/04/2012,5.19
23/04/2012,5.3
26/04/2012,5.16
29/04/2012,5.09
02/05/2012,5.04
05/05/2012,5.15
08/05/2012,5.1
11/05/2012,5.1
14/05/2012,5.01
17/05/2012,5.1
20/05/2012,5.14
23/05/2012,5.13
26/05/2012,5.15
29/05/2012,5.16
01/06/2012,5.21
04/06/2012,5.27
07/06/2012,5.48
10/06/2012,5.68
13/06/2012,5.76
16/06/2012,6.27
19/06/2012,6.48
22/06/2012,6.8
25/06/2012,6.56
28/06/2012,6.58
01/07/2012,6.69
04/07/2012,6.71
07/07/2012,6.74
10/07/2012,6.98
13/07/2012,7.46
16/07/2012,7.8
19/07/2012,9.37
22/07/2012,9.53
25/07/2012,8.91
28/07/2012,8.95
31/07/2012,9.22
03/08/2012,10.12
06/08/2012,11.21
09/08/2012,11.35
12/08/2012,11.64
15/08/2012,12.3
18/08/2012,15.37
21/08/2012,10.45
24/08/2012,10.25
27/08/2012,10.99
30/08/2012,11.14
02/09/2012,10.36
05/09/2012,10.59
08/09/2012,11.27
11/09/2012,11.14
14/09/2012,11.48
17/09/2012,11.98
20/09/2012,12.63
23/09/2012,12.4
26/09/2012,12.24
29/09/2012,12.46
02/10/2012,12.58
05/10/2012,13.07
08/10/2012,12.58
11/10/2012,12.16
14/10/2012,12.1
17/10/2012,11.99
20/10/2012,11.94
23/10/2012,11.86
26/10/2012,11.56
28/10/2012,10.69
31/10/2012,11.17
03/11/2012,10.62
06/11/2012,10.97
09/11/2012,11.04
12/11/2012,11.17
15/11/2012,11.28
18/11/2012,11.82
21/11/2012,11.9
24/11/2012,12.46
27/11/2012,12.5
30/11/2012,12.66
03/12/2012,12.75
06/12/2012,13.69
09/12/2012,13.53
12/12/2012,13.8
15/12/2012,13.75
18/12/2012,13.4
21/12/2012,13.63
24/12/2012,13.45
27/12/2012,13.51
30/12/2012,13.57
02/01/2013,13.42
05/01/2013,13.54
08/01/2013,13.84
11/01/2013,14.31
14/01/2013,14.34
17/01/2013,15.53
20/01/2013,16.15
23/01/2013,17.97
26/01/2013,17.71
29/01/2013,19.78
01/02/2013,21.25
04/02/2013,20.99
07/02/2013,22.15
10/02/2013,23.97
13/02/2013,24.3
16/02/2013,27.39
19/02/2013,29.48
22/02/2013,30.52
25/02/2013,30.4
28/02/2013,33.36
03/03/2013,34.25
06/03/2013,42
09/03/2013,46.93
12/03/2013,44.32
15/03/2013,46.9
18/03/2013,52.12
21/03/2013,70.25
24/03/2013,71.93
27/03/2013,88.8
30/03/2013,92.5
03/04/2013,117.34
06/04/2013,142.1
09/04/2013,186.96
12/04/2013,124.9
15/04/2013,100
18/04/2013,93.9
21/04/2013,127.5
24/04/2013,142.5
27/04/2013,137
30/04/2013,144.54
03/05/2013,103.3
06/05/2013,115.98
09/05/2013,113.35
12/05/2013,115.68
15/05/2013,112
18/05/2013,123.32
21/05/2013,122.02
24/05/2013,126.7
27/05/2013,133.5
30/05/2013,132.3
02/06/2013,129.3
05/06/2013,121.42
08/06/2013,111.5
11/06/2013,106.1
14/06/2013,103.9
17/06/2013,99.9
20/06/2013,107.68
23/06/2013,108.35
26/06/2013,103.89
29/06/2013,94.65
02/07/2013,87
05/07/2013,80.04
08/07/2013,75
11/07/2013,87.9
14/07/2013,98
17/07/2013,97.05
20/07/2013,92
23/07/2013,91.99
26/07/2013,97
29/07/2013,98.7
01/08/2013,106.2
04/08/2013,104.95
07/08/2013,106.56
10/08/2013,102.8
13/08/2013,106.64
16/08/2013,98.08
19/08/2013,99.3
22/08/2013,110.43
25/08/2013,109.04
28/08/2013,117.72
31/08/2013,124.84
03/09/2013,130.09
06/09/2013,122.63
09/09/2013,118.18
12/09/2013,126.54
15/09/2013,124.05
18/09/2013,139.15
21/09/2013,123.04
24/09/2013,122.65
27/09/2013,124.65
30/09/2013,127.01
03/10/2013,103.85
06/10/2013,121.2
09/10/2013,124.12
12/10/2013,127.41
15/10/2013,135.17
18/10/2013,143.94
21/10/2013,186.12
24/10/2013,203.7
27/10/2013,179.56
29/10/2013,216
01/11/2013,203
04/11/2013,229.95
07/11/2013,291.02
10/11/2013,328
13/11/2013,393
16/11/2013,437.24
19/11/2013,547
22/11/2013,795
25/11/2013,814.56
28/11/2013,1014.1
01/12/2013,955.01
04/12/2013,1136.9
07/12/2013,705.91
10/12/2013,978.76
13/12/2013,885
16/12/2013,690
19/12/2013,685.3
22/12/2013,614.11
25/12/2013,679.02
28/12/2013,715
31/12/2013,732
03/01/2014,807.39
06/01/2014,915.69
09/01/2014,826.28
12/01/2014,844.04
15/01/2014,841.83
18/01/2014,811.2
21/01/2014,824.78
24/01/2014,780.02
27/01/2014,747.57
30/01/2014,800
02/02/2014,814.34
05/02/2014,781
08/02/2014,680.8
11/02/2014,675.1
14/02/2014,670.29
17/02/2014,629.96
